Product Name,Price,Rating,Source
Samsung The Frame 163 cm (65 inch) QLED Ultra HD (4K) Smart TV,"₹1,29,999",4.6,Flipkart
Samsung 163 cm (65 inch) Ultra HD (4K) LED Smart TV,"₹99,999",4.5,Flipkart
Mi 4A 100 cm (40 inch) Full HD LED Smart Android TV with With Google Data Saver,"₹19,999",4.4,Flipkart
Samsung 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition,"₹16,290",4.4,Flipkart
Mi 4A PRO 80 cm (32 inch) HD Ready LED Smart Android TV with Google Data Saver,"₹14,999",4.4,Flipkart
Realme 80 cm (32 inch) HD Ready LED Smart Android TV,"₹13,999",4.3,Flipkart
